catalogId,movieName,genre,rarity,cityUnlock,sagaId,sagaOrder,isLegendary,posterFile,tagline
Action_Aftershock,Night Convoy,Action,Rare,1,,0,0,nightconvoy.jpg,"When the mission ends, the real fight begins."
Action_Blackout_Run,Operation Coldfire,Action,Rare,1,,0,0,operationcoldfire.jpg,Power fails across the city during a prison break.
Action_Borderline,Silent Extraction,Action,Rare,1,,0,0,silentextraction.jpg,Two nations. One fugitive. Total chaos.
Action_Breacher_Unit,The Last Dominion,Action,Rare,1,,0,0,thelastdominion.jpg,"Doors, walls, and regimes fall the same way."
Action_Collateral_Run,Zero Contact,Action,Rare,1,,0,0,zerocontact.jpg,Every second of delay costs civilian lives.
Action_Steel_Rain,Steel Rain,Action,Rare,1,,0,0,steelrain.jpg,Artillery decides the battle before infantry moves.
Action_Broken_Protocol,Beyond The Frontier,Action,Rare,2,project_avalanche,2,0,beyondthefrontier.jpg,Rules of engagement become suggestions under fire.
Action_Frontline_Ghost,Black Horizon,Action,Rare,2,shadow_trigger,4,0,blackhorizon.jpg,"Declared dead, he keeps fighting anyway."
Action_Iron_Descent,Broken Siege,Action,Rare,2,project_avalanche,5,0,brokensiege.jpg,An orbital drop team lands in the wrong war.
Action_Nightfall_Protocol,Crimson Border,Action,Rare,2,shadow_trigger,3,0,crimsonborder.jpg,"When the sun sets, the rules change."
Action_Steel_Horizon,Dead Frequency,Action,Rare,2,project_avalanche,1,0,deadfrequency.jpg,Fleet commanders gamble everything on one offensive.
Action_Urban_Siege,Empire Of Ashes,Action,Rare,2,project_avalanche,3,0,empireofashes.jpg,One city block becomes a war zone overnight.
Action_Warpath,Ghost Battalion,Action,Rare,2,project_avalanche,6,0,ghostbattalion.jpg,A general's last campaign becomes personal.
Action_Zero_Hour_Convoy,Kingdom Of Dust,Action,Rare,2,project_avalanche,4,0,kingdomofdust.jpg,Supplies must reach the front before dawn.
Action_Legendary,Iron Wolves,Action,Legendary,8,,0,1,ironwolves.jpg,An elite unit hunts what the world refused to believe existed.
Animation_Bubble_City,The Moonlight Bakery,Animation,Rare,7,,0,0,themoonlightbakery.jpg,Entire civilization lives inside bubbles.
Animation_Cloud_Riders,The Ocean Beyond Maps,Animation,Rare,7,,0,0,theoceanbeyondmaps.jpg,Children sail clouds in homemade ships.
Animation_Dragon_s_Lunchbox,A Thousand Fireflies,Animation,Epic,7,,0,0,athousandfireflies.jpg,School lunch hides a dragon egg.
Animation_Moonlight_Mice,The Secret Treehouse,Animation,Rare,7,,0,0,thesecrettreehouse.jpg,Midnight quests for cheese and courage.
Animation_Robot_Best_Friend,Beyond Maple Hill,Animation,Epic,7,,0,0,beyondmaplehill.jpg,Friendship programmed beyond specs.
Animation_Sky_Garden,Captain Acorn,Animation,Epic,7,,0,0,captainacorn.jpg,Floating gardens need young caretakers.
Animation_The_Clockwork_Fox,The Clockwork Fox,Animation,Rare,7,,0,0,theclockworkfox.jpg,A mechanical fox searches for warmth.
Animation_Whisper_Woods,Oliver And The Sky Whale,Animation,Epic,7,,0,0,oliverandtheskywhale.jpg,Trees whisper advice to lost children.
Animation_Legendary,Little Giants,Animation,Legendary,8,,0,1,littlegiants.jpg,Small heroes carry the biggest hearts in the biggest adventure.
Animation_Starlight_Parade,The Flying Orchard,Animation,Rare,8,,0,0,theflyingorchard.jpg,Annual parade lights up the night sky.
Animation_The_Singing_Stone,The Lantern Parade,Animation,Rare,8,,0,0,thelanternparade.jpg,A stone teaches a village to harmonize.
Animation_Tiny_Voyagers,The Lost Balloon,Animation,Rare,8,,0,0,thelostballoon.jpg,Microscopic explorers inside a backyard.
Comedy_Accidental_Guru,Welcome To Dis A Ster,Comedy,Rare,4,,0,0,welcometodisaster.jpg,Accidental wisdom goes viral overnight.
Comedy_Room_for_Error,City H A Lldis A Ster,Comedy,Epic,4,,0,0,cityhalldisaster.jpg,Airbnb listing omits the haunted annex.
Comedy_Uncle_Gary_IV,F A Milyemergency,Comedy,Epic,4,,0,0,familyemergency.jpg,Gary runs for office. Sanity loses.
Comedy_Accidental_Hero,L At E A G A In,Comedy,Rare,5,,0,0,lateagain.jpg,Save the cat. Become mayor accidentally.
