genre,rarity,movieName,cityUnlock,sagaId
Action,Legendary,Iron Wolves,8,
SciFi,Legendary,Echoes of Titan,8,
SciFi,Rare,Core Breach,1,
SciFi,Rare,Phase Shift,1,
SciFi,Rare,Stellar Cartel,1,
Drama,Legendary,When the River Sleeps,8,
Drama,Rare,Blue Hour,2,
Drama,Rare,Fading Light,2,
Drama,Rare,Open Field,2,
Drama,Rare,Silent Auction,2,
Drama,Rare,Stone Garden,2,
Drama,Rare,Two Rivers,2,
Drama,Rare,Undertow,2,
Horror,Legendary,The Hollow House,8,
Horror,Epic,Night Garden,3,
Horror,Rare,Borrowed Skin,3,
Horror,Rare,Crimson Static,3,
Horror,Rare,Grave Shift,3,
Horror,Rare,Last Rites,3,
Horror,Rare,Moth Parish,3,
Horror,Rare,Pale Door,3,
Horror,Rare,Red Nursery,3,
Horror,Rare,Silent Hive,3,
Horror,Rare,Skinwalker Line,3,
Horror,Rare,The Veil Thin,3,
Comedy,Legendary,Detective Potato,8,
Comedy,Epic,Room for Error,4,
Comedy,Epic,Uncle Gary IV,4,
Comedy,Rare,Accidental Guru,4,
Comedy,Rare,Accidental Hero,5,
Comedy,Rare,Cooking Catastrophe,4,
Comedy,Rare,Dog Mayor,4,
Comedy,Rare,Double Booked,5,
Comedy,Rare,Ghost Roommate,4,
Comedy,Rare,Improv Nation,5,
Comedy,Rare,Late Shift Laughs,4,
Comedy,Rare,Love in Transit,4,
Comedy,Rare,Mismatched Pair,4,
Comedy,Rare,Pizza Tribunal,5,
Comedy,Rare,Side Gig,5,
Comedy,Rare,Startup Chaos,4,
Comedy,Rare,Sushi Disaster,4,
Comedy,Rare,The Backup Plan,4,
Comedy,Rare,The Heist That Wasn't,4,
Comedy,Rare,Uncle Gary III,4,
Comedy,Rare,Uncle Gary VI,5,
Comedy,Rare,Uncle Gary VII,5,
Comedy,Rare,Uncle Gary VIII,5,
Fantasy,Legendary,Song of the Forgotten Realm,8,
Fantasy,Epic,River of Stars,5,
Fantasy,Epic,The Glass Forest III,5,
Fantasy,Epic,Throne of Thorns,5,
Fantasy,Rare,Ash Crown,5,
Fantasy,Rare,Dragon's Debt,5,
Fantasy,Rare,Runebreaker,5,
Fantasy,Rare,Spellbound Market,5,
Fantasy,Rare,Starforge,5,
Fantasy,Rare,Witch's Bargain,5,
Romance,Legendary,A Sky for Two,8,
Romance,Epic,Beneath the Summer Sky III,6,
Romance,Epic,Golden Hour,6,
Romance,Epic,Midnight Train,6,
Romance,Epic,Paper Hearts,6,
Romance,Epic,Quiet Harbor,6,
Romance,Epic,The Long Hello,6,
Romance,Rare,Coffee at Dawn,6,
Romance,Rare,Crossed Lines,6,
Romance,Rare,Harbor Lights,6,
Romance,Rare,Letters in Rain,6,
Romance,Rare,Paris Delay,6,
Romance,Rare,Rain on Sunday,6,
Romance,Rare,Second Chance Waltz,6,
Romance,Rare,Slow Dance,6,
Romance,Rare,Starlight Pact,6,
Romance,Rare,Sunset Clause,6,
Romance,Rare,The Last Dance,6,
Romance,Rare,The Matchbook,6,
Romance,Rare,Two Tickets,6,
Romance,Rare,Winter Bloom,6,
Thriller,Legendary,Red File 27,8,
Thriller,Rare,Cold Case Heat,7,
Thriller,Rare,Glass Witness,7,
Thriller,Rare,Night Ledger,7,
Thriller,Rare,Proxy Kill,7,
Thriller,Rare,Red File 12,7,
Thriller,Rare,Red File 27 II,7,
Thriller,Rare,Red File 27 III,7,
Thriller,Rare,Red Horizon,7,
Thriller,Rare,Shadow Trigger III,7,
Thriller,Rare,Silent Contract,7,
Thriller,Rare,The Black Ledger V,7,
Thriller,Rare,Undercover Line,7,
Thriller,Rare,Wiretap,7,
Animation,Legendary,Little Giants,8,
Animation,Epic,Dragon's Lunchbox,7,
Animation,Epic,Robot Best Friend,7,
Animation,Epic,Sky Garden,7,
Animation,Epic,Whisper Woods,7,
Animation,Rare,Bubble City,7,
Animation,Rare,Cloud Riders,7,
Animation,Rare,Moonlight Mice,7,
Animation,Rare,Paint the Wind,7,
Animation,Rare,Paper Kingdom,7,
Animation,Rare,Star Pup,7,
Animation,Rare,Starlight Parade,8,
Animation,Rare,The Clockwork Fox,7,
Animation,Rare,The Last Kite,7,
Animation,Rare,The Singing Stone,8,
Animation,Rare,Tiny Titans,7,
Animation,Rare,Tiny Voyagers,8,
Documentary,Legendary,Voices of the Deep,8,
Documentary,Epic,Border Seeds,8,
Documentary,Epic,The Archivist,8,
Documentary,Epic,The Glassblower,8,
Documentary,Epic,Voices of the Deep II,8,
Documentary,Rare,City of Light,8,
Documentary,Rare,Hidden Rivers,8,
Documentary,Rare,Steel and Song,8,
Documentary,Rare,The Last Beekeeper,8,
Documentary,Rare,Tracks in Dust,8,
