catalogId,movieName,genre,rarity,cityUnlock,sagaId,sagaOrder,isLegendary,posterFile,tagline
Action_Aftershock,Night Convoy,Action,Rare,1,,0,0,nightconvoy.jpg,"When the mission ends, the real fight begins."
Action_Blackout_Run,Operation Coldfire,Action,Rare,1,,0,0,operationcoldfire.jpg,Power fails across the city during a prison break.
Action_Borderline,Silent Extraction,Action,Rare,1,,0,0,silentextraction.jpg,Two nations. One fugitive. Total chaos.
Action_Breacher_Unit,The Last Dominion,Action,Rare,1,,0,0,thelastdominion.jpg,"Doors, walls, and regimes fall the same way."
Action_Collateral_Run,Zero Contact,Action,Rare,1,,0,0,zerocontact.jpg,Every second of delay costs civilian lives.
Action_Convoy_Seven,Convoy Seven,Action,Common,1,,0,0,convoyseven.jpg,Seventh convoy through the deadliest road on earth.
Action_Crash_Vector,Crash Vector,Action,Common,1,,0,0,crashvector.jpg,A pilot must land a failing jet in hostile territory.
Action_Crossfire_Alley,Crossfire Alley,Action,Common,1,,0,0,crossfirealley.jpg,Every alley is an ambush waiting to happen.
Action_Extraction_Point,Extraction Point,Action,Common,1,,0,0,extractionpoint.jpg,Get them out before the perimeter collapses.
Action_Final_Vector,Final Vector,Action,Common,1,,0,0,finalvector.jpg,Intercept the missile or lose a capital.
Action_Fireline,Fireline,Action,Common,1,,0,0,fireline.jpg,Firefighters battle flames and a hidden conspiracy.
Action_Frontline_Echo,Frontline Echo,Action,Common,1,,0,0,frontlineecho.jpg,Veterans return to the only war that still matters.
Action_Ghost_Company,Ghost Company,Action,Common,1,,0,0,ghostcompany.jpg,A unit erased from every roster except the enemy's.
Action_Hammer_Strike,Hammer Strike,Action,Common,1,,0,0,hammerstrike.jpg,A blunt force operation with surgical precision.
Action_Hardline_Justice,Hardline Justice,Action,Common,1,,0,0,hardlinejustice.jpg,A cop crosses every line to stop a syndicate.
Action_Hostile_Air,Hostile Air,Action,Common,1,,0,0,hostileair.jpg,Friendly skies turn hostile in seconds.
Action_Iron_Gate,Iron Gate,Action,Common,1,,0,0,irongate.jpg,Storm the gate or lose the hostages.
Action_Last_Stand_Bridge,Last Stand Bridge,Action,Common,1,,0,0,laststandbridge.jpg,Hold the bridge until reinforcements arrive.
Action_Midnight_Extraction,Midnight Extraction,Action,Common,1,,0,0,midnightextraction.jpg,A hostage rescue with no extraction window.
Action_Night_Raid,Night Raid,Action,Common,1,,0,0,nightraid.jpg,Special forces enter a fortress in darkness.
Action_Outrider,Outrider,Action,Common,1,,0,0,outrider.jpg,One scout against an advancing army.
Action_Overwatch_Down,Overwatch Down,Action,Common,1,,0,0,overwatchdown.jpg,A sniper team loses eyes in the sky.
Action_Pressure_Point,Pressure Point,Action,Common,1,,0,0,pressurepoint.jpg,One warehouse. One bomb. One chance.
Action_Rapid_Fire,Rapid Fire,Action,Common,1,,0,0,rapidfire.jpg,"Bullets, debts, and revenge move at the same speed."
Action_Rapid_Thunder,Rapid Thunder,Action,Common,1,,0,0,rapidthunder.jpg,Lightning war in a city that never sleeps.
Action_Red_Sector,Red Sector,Action,Common,1,,0,0,redsector.jpg,A quarantined district hides a military secret.
Action_Resolute,Resolute,Action,Common,1,,0,0,resolute.jpg,One soldier refuses to abandon the mission.
Action_Rogue_Squadron,Rogue Squadron,Action,Common,1,,0,0,roguesquadron.jpg,Pilots who answer to no flag save the day.
Action_Shockwave,Shockwave,Action,Common,1,,0,0,shockwave.jpg,One explosion rewrites the city's power map.
Action_Steel_Covenant,Steel Covenant,Action,Common,1,,0,0,steelcovenant.jpg,Allies forged in combat must trust or die.
Action_Steel_Rain,Steel Rain,Action,Rare,1,,0,0,steelrain.jpg,Artillery decides the battle before infantry moves.
Action_Steel_Veil,Steel Veil,Action,Common,1,,0,0,steelveil.jpg,A covert war fought without uniforms.
Action_Strike_Package,Strike Package,Action,Common,1,,0,0,strikepackage.jpg,Every asset in the theater on one target.
Action_Tactical_Silence,Tactical Silence,Action,Common,1,,0,0,tacticalsilence.jpg,No comms. No backup. No mistakes.
Action_Terminal_Velocity,Terminal Velocity,Action,Common,1,,0,0,terminalvelocity.jpg,Falling is the easy part. Landing is not.
